tab1_reg-nce : Répartition de la consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,INDICATEUR,Consommation de combustibles,Consommation totale brute,Consommation totale nette
,"E34 - Industrie textile, du cuir et de l'habillement",s,1,1
,E35 - Industrie du papier et du carton,s,12,s
,E36 - Fabrication de produits en caoutchouc,s,s,s
,E37 - Fabrication de produits en plastique,2,8,8
,E38 - Industries diverses,1,5,5
PACA et Corse,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,6,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,19,36,36
,E22 - Industrie du verre,s,s,s
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,195,195
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",21,62,62
,E26 - Autres industries de la chimie organique de base,1644,1913,1817
,E28 - Parachimie et industrie pharmaceutique,19,31,31
,E29 - Fonderie et travail des métaux,6,15,15
,E30 - Construction mécanique,2,6,6
,E31 - Construction électrique et électronique,4,35,35
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,1,1,1
,"E33 - Construction navale et aéronautique, armement",7,21,20
,"E34 - Industrie textile, du cuir et de l'habillement",2,2,2
,E35 - Industrie du papier et du carton,s,s,42
,E36 - Fabrication de produits en caoutchouc,s,0,0
,E37 - Fabrication de produits en plastique,4,11,11
,E38 - Industries diverses,4,12,12
DOM,E16 - Sidérurgie,0,0,0
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,3,3,1
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,14,17,17
,E22 - Industrie du verre,0,0,0
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,5,9,9
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",0,0,0
,E26 - Autres industries de la chimie organique de base,0,1,1
,E28 - Parachimie et industrie pharmaceutique,0,3,3
,E29 - Fonderie et travail des métaux,1,2,2
,E30 - Construction mécanique,0,1,1
,E31 - Construction électrique et électronique,0,0,0
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,0,0,0
,"E33 - Construction navale et aéronautique, armement",0,2,2
,"E34 - Industrie textile, du cuir et de l'habillement",1,1,1
,E35 - Industrie du papier et du carton,0,1,1
,E36 - Fabrication de produits en caoutchouc,0,0,0
,E37 - Fabrication de produits en plastique,0,1,1
,E38 - Industries diverses,1,4,4
Note : Les coefficients de conversion en tep de certaines énergies ont été actualisés pour la publication 2011.,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie hors IAA et scieries, hors industrie de l'énergie, y compris récupération. ",,,,
"Source : Insee, enquête annuelle sur les consommations d'énergie dans l'industrie 2011.",,,,
