Tab1_reg-nce : Répartition de la consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,INDICATEUR,Consommation de combustibles,Consommation totale brute,Consommation totale nette
,E28 - Parachimie et industrie pharmaceutique,2,11,10
,E29 - Fonderie et travail des métaux,19,39,s
,E30 - Construction mécanique,4,8,8
,E31 - Construction électrique et électronique,7,23,23
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,1,6,6
,"E33 - Construction navale et aéronautique, armement",27,67,62
,"E34 - Industrie textile, du cuir et de l'habillement",6,9,9
,E35 - Industrie du papier et du carton,s,s,s
,E36 - Fabrication de produits en caoutchouc,s,s,s
,E37 - Fabrication de produits en plastique,4,11,11
,E38 - Industries diverses,19,30,30
Limousin,E16 - Sidérurgie,s,s,s
,E18 - Métallurgie de première transformation des métaux non ferreux,s,s,s
,E19 - Production de minéraux divers,s,s,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
,E21 - Production d'autres matériaux de construction et de céramique,26,33,33
,E22 - Industrie du verre,s,s,s
,E23 - Fabrication d'engrais,s,s,s
,E24 - Autres industries de la chimie minérale,s,s,s
,"E25 - Fabrication de matières plastiques, de caoutchouc synthétique et de fibres artificielles ou synthétiques",s,s,s
,E26 - Autres industries de la chimie organique de base,s,s,s
,E28 - Parachimie et industrie pharmaceutique,1,2,2
,E29 - Fonderie et travail des métaux,4,8,8
,E30 - Construction mécanique,2,3,3
,E31 - Construction électrique et électronique,2,7,7
,E32 - Construction de véhicules automobiles et d'autres matériels de transport terrestre,2,4,4
,"E33 - Construction navale et aéronautique, armement",s,s,s
,"E34 - Industrie textile, du cuir et de l'habillement",1,2,2
,E35 - Industrie du papier et du carton,s,264,258
,E36 - Fabrication de produits en caoutchouc,s,s,s
,E37 - Fabrication de produits en plastique,0,2,2
,E38 - Industries diverses,12,20,18
Rhône-Alpes,E16 - Sidérurgie,158,331,s
,E18 - Métallurgie de première transformation des métaux non ferreux,46,s,s
,E19 - Production de minéraux divers,1,1,s
,"E20 - Fabrication de plâtres, produits en plâtre, chaux et ciments",s,s,s
