"GEO";"GEO_OBJECT";"NUMBER_EMPL";"ACTIVITY";"EACEI_MEASURE";"UNIT_MULT";"UNIT_MEASURE";"CONF_STATUS";"OBS_STATUS";"COMPARE_TIME";"TIME_PERIOD";"OBS_VALUE"
"F";"FRANCE";"_T";"20";"BR_CONTRAT_FIN_3_PROP";"0";"PT";"F";"A";"_Z";2023;7.3
"28";"REG";"_T";"_T";"BR_USQ7";"3";"TOE";"F";"A";"_Z";2023;909.8
"F";"FRANCE";"_T";"21";"BR_CONTRAT_FIN_2_PROP";"0";"PT";"F";"A";"_Z";2023;41.1
"F";"FRANCE";"E250T499";"_T";"BR_USQ2";"3";"TOE";"F";"A";"_Z";2023;2875
"F";"FRANCE";"_T";"C10T12";"CMSR_PRIX";"0";"EUR_T";"F";"A";"_Z";2023;336
"44";"REG";"_T";"_T";"GAZR_USQ4";"3";"TOE";"F";"A";"_Z";2023;114.9
"F";"FRANCE";"_T";"31";"DR_CONTRAT_FIN_1_PROP";"0";"PT";"F";"A";"_Z";2023;88.2
"F";"FRANCE";"_T";"_T";"LR_PRIX";"0";"EUR_L";"F";"A";"0_2005";2004;0.3
"44";"REG";"_T";"_T";"GAZR_USQ2";"3";"TOE";"F";"A";"_Z";2023;166.8
"F";"FRANCE";"_T";"24";"DR_CONTRAT_FIN_1_PROP";"0";"PT";"F";"A";"_Z";2023;56.6
"F";"FRANCE";"_T";"B07T09";"JR_VALA";"6";"EUR";"F";"A";"_Z";2023;3.6
"F";"FRANCE";"_T";"18";"GAZR_PRIX";"0";"EUR_GWH";"C";"A";"_Z";2023;73
"84";"REG";"_T";"_T";"GAZR_USQ3";"3";"TOE";"F";"A";"_Z";2023;4
"F";"FRANCE";"_T";"18";"LR_USQ3";"3";"TOE";"F";"A";"_Z";2023;0.5
"F";"FRANCE";"_T";"_T";"KR_CSUP";"3";"T";"F";"A";"_Z";2023;184
"F";"FRANCE";"_T";"B07T09";"QR_USQ9";"3";"TOE";"F";"A";"_Z";2023;54.6
"F";"FRANCE";"_T";"24";"PP_CSTP";"3";"TOE";"F";"A";"_Z";2023;176.6
"DOM";"OTHER";"_T";"_T";"NR_CSTP";"3";"TOE";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"16";"QR_PRIX";"0";"EUR_L";"F";"A";"_Z";2023;1.11
"F";"FRANCE";"_T";"C29_30";"PP_CSTP";"3";"TOE";"C";"A";"_Z";2023;16.3
"F";"FRANCE";"_T";"28";"OR_CSUP";"3";"T";"C";"A";"_Z";2023;4.6
"F";"FRANCE";"_T";"15";"QR_PRIX";"0";"EUR_L";"F";"L";"_Z";2023;
"F";"FRANCE";"_T";"31";"LR_VALA";"6";"EUR";"F";"A";"_Z";2023;0.9
"F";"FRANCE";"_T";"_T";"PP_PCT";"0";"PT";"F";"A";"1_2005";2013;6
"76";"REG";"_T";"_T";"OR_VALA";"6";"EUR";"F";"A";"_Z";2023;14.1
"F";"FRANCE";"_T";"_T";"PR_QAUP";"3";"T";"F";"A";"_Z";2023;33.6
"53";"REG";"_T";"_T";"BR_PROD";"0";"GWH";"F";"A";"_Z";2023;43.2
"53";"REG";"_T";"_T";"BR_VEND";"0";"GWH";"F";"A";"_Z";2023;2.2
"F";"FRANCE";"_T";"_T";"BIOR_PRIX";"0";"EUR_GWH";"F";"L";"0_2005";1996;
"F";"FRANCE";"_T";"B07T09";"BIOR_QAUP";"0";"GWH";"C";"A";"_Z";2023;48.1
"F";"FRANCE";"_T";"16";"COMBPRB";"3";"TOE";"C";"A";"_Z";2023;30.9
"F";"FRANCE";"_T";"38";"BR_USQ8";"3";"TOE";"F";"A";"_Z";2023;41.7
"93";"REG";"_T";"_T";"BIOR_PRIX";"0";"EUR_GWH";"C";"A";"_Z";2023;18.8
"F";"FRANCE";"_T";"20";"BR_USQ6";"3";"TOE";"F";"A";"_Z";2023;381.2
"F";"FRANCE";"_T";"18";"BR_USQ8";"3";"TOE";"F";"A";"_Z";2023;48.7
"F";"FRANCE";"_T";"23";"BR_THER";"0";"GWH";"F";"A";"_Z";2023;58
"F";"FRANCE";"_T";"_T";"JR_PRIX";"0";"EUR_T";"F";"A";"1_2005";2016;362
"24";"REG";"_T";"_T";"GAZR_CSTP";"3";"TOE";"F";"A";"_Z";2023;300.4
"F";"FRANCE";"_T";"_T";"JR_PRIX";"0";"EUR_T";"F";"A";"1_2005";2007;475
