ENERGIES,,,Houille (en milliers de tonnes),,,,Lignite - charbon pauvre (en milliers de tonnes),,,,Coke de houille (en milliers de tonnes),,,,Gaz  de réseau (en GWh),,,,Coke de pétrole (en milliers de tonnes),,,,Butane propane (en milliers de tonnes),,,,Fioul lourd (en milliers de tonnes),,,,Fioul domestique (gazole non routier) (en milliers de litres),,,,Bois (en milliers de tonnes),,,,Vapeur (en milliers de tonnes),,,,Electricité (en GWh),,,
INDICATEUR,Nombre d'établissements du champ,Facture énergétique totale,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen,Quantités achetées,Consommation,Valeur des achats (en millions d'euros),Prix moyen
SECTEUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 - Métallurgie,421,2875,s,s,s,s,s,s,s,s,376,387,123,326,13535,13535,420,31,181,184,58,322.5,s,s,s,s,8,58,5,607.2,s,s,s,s,153,153,9,58.5,415,415,9,20.6,20859,21728,969,46.4
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",3277,714,s,s,s,s,s,s,s,s,s,s,s,s,4782,4782,175,36.6,0,0,0,-,116,26,110,946,1,1,1,696.4,14875,14984,12,0.8,0,5,0,-,25,25,1,43.2,5173,5176,411,79.4
"26 - Fabrication de produits informatiques, électroniques et optiques",596,176,0,0,0,-,0,0,0,-,0,0,0,-,596,596,25,42.5,0,0,0,-,1,1,1,1106.2,0,0,0,826.1,2530,2560,2,0.8,0,0,0,-,9,9,0,37.5,2200,2201,148,67.3
27 - Fabrication d'équipements électriques,679,233,0,0,0,-,0,0,0,-,s,s,s,s,1421,1421,54,38.1,s,s,s,s,5,4,4,974.9,2,2,1,654.1,5023,4952,4,0.8,s,s,s,s,6,6,0,51.2,2034,2035,151,74
28 - Fabrication de machines et équipements n.c.a.,1426,282,0,0,0,-,0,0,0,-,0,0,0,-,2052,2052,84,40.8,0,0,0,-,8,8,8,939.3,2,2,1,559.7,15079,14949,12,0.8,1,6,0,46.5,11,11,1,47,2177,2180,177,81.2
29 - Industrie automobile,555,459,0,0,0,-,0,0,0,-,9,9,3,386,3897,3897,138,35.3,0,0,0,-,8,8,7,885.4,0,1,0,734.8,4268,4319,3,0.8,0,2,0,72,412,412,12,29.3,s,4329,s,s
30 - Fabrication d'autres matériels de transport,287,205,0,0,0,-,0,0,0,-,0,0,0,-,1746,1746,67,38.5,0,0,0,-,s,s,s,s,s,s,s,s,3935,3965,3,0.7,s,s,s,s,90,90,3,37.6,1733,1804,129,74.5
31 - Fabrication de meubles,457,71,0,0,0,-,0,0,0,-,0,0,0,-,355,355,15,42.7,0,0,0,-,4,4,4,912.3,0,0,0,-,2240,2427,2,0.8,4,64,0,18.7,0,0,0,-,589,589,50,85.7
32 - Autres industries manufacturières,435,60,0,0,0,-,0,0,0,-,0,0,0,-,317,317,12,38.4,0,0,0,-,s,s,s,s,0,0,0,-,1863,1921,1,0.8,0,0,0,-,s,s,s,s,570,571,45,78.1
33 - Réparation et installation de machines et d'équipements,1091,48,0,0,0,-,0,0,0,-,0,0,0,-,225,225,10,42.4,0,0,0,-,1,1,1,1021,1,1,0,900.1,s,s,s,s,s,s,s,s,31,31,1,43.9,s,349,s,s
38 - Récupération,254,44,0,0,0,-,0,0,0,-,0,0,0,-,179,179,7,36.3,0,0,0,-,1,1,0,671.6,s,s,s,s,10727,11422,8,0.8,0,0,0,-,0,0,0,-,304,304,27,89.6
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
