2025-07-19 20:58:25,993 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group 'FRA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,994 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,994 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,997 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group 'BFC' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,998 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,998 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group 'OCC' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,999 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,999 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,000 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,000 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group 'OCC' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,000 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group 'PAC' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,001 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group 'IDF' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,002 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,003 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,004 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,004 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,006 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,006 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,007 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,007 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,016 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Quantités de gaz consommées en tant que matières premières' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,034 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Quantités de fioul domestique consommées en tant que matières premières' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,035 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | RowAggregationWarning: Sum across axis 'GRE' for group 'Quantités de fioul domestique consommées en tant que matières premières' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:26,035 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Quantités de fioul domestique consommées en tant que matières premières' included a suppressed or null value (s, so, ns, or null).
