2025-07-18 21:40:46,104 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'IDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,105 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'CVL' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,106 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,106 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,107 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'PAL' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,108 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,108 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,109 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'OCC' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,109 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:46,109 | INFO | Script: step_3_T2.py | File: 2010_REG_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen des combustibles minéraux solides (en €/t)' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
