2025-07-19 21:38:55,994 | INFO | Script: step_3_T4.py | File: 2011_TEFF_T4.csv | RowAggregationWarning: Sum across axis '500+' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,009 | INFO | --- Processing file: 2012_NAF_T4.csv ---
2025-07-19 21:38:56,013 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'B07T09' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,014 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'B07T09' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,014 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'C10T12' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,015 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'C10T12' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,016 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '14' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,016 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '16' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,017 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,017 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '18' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,018 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '21' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,018 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '23' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,019 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,020 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '29' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,021 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '30' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,022 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '32' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,022 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group '33' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,032 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,032 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'C10T12' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,038 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Production d’électricité d’origine non thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,038 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'C10T12' for group 'Production d’électricité d’origine non thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,050 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,051 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'C10T12' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,056 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,057 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'C10T12' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,062 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Électricité achetée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,063 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'C10T12' for group 'Électricité achetée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,072 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Électricité : usage force motrice' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,073 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'C10T12' for group 'Électricité : usage force motrice' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,082 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'C10T12' for group 'Électricité : usage électrolyse' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,088 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Électricité : usage chauffage des locaux et autres' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,088 | INFO | Script: step_3_T4.py | File: 2012_NAF_T4.csv | RowAggregationWarning: Sum across axis 'C10T12' for group 'Électricité : usage chauffage des locaux et autres' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,103 | INFO | --- Processing file: 2012_REG_T4.csv ---
2025-07-19 21:38:56,107 | INFO | Script: step_3_T4.py | File: 2012_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,108 | INFO | Script: step_3_T4.py | File: 2012_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,108 | INFO | Script: step_3_T4.py | File: 2012_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,109 | INFO | Script: step_3_T4.py | File: 2012_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,109 | INFO | Script: step_3_T4.py | File: 2012_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,112 | INFO | Script: step_3_T4.py | File: 2012_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'OCC' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:56,113 | INFO | Script: step_3_T4.py | File: 2012_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'PAC' included a suppressed or null value (s, so, ns, or null).
