2025-07-18 21:35:57,865 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'GRE' for group 'Consommation de combustibles spéciaux non renouvelables' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,865 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Consommation de combustibles spéciaux non renouvelables' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,866 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Consommation de combustibles spéciaux non renouvelables' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,867 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Consommation de combustibles spéciaux non renouvelables' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,868 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Consommation autres combustibles' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,870 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Consommation autres combustibles' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,871 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Vapeur consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,872 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Vapeur consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,875 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Vapeur consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,875 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Vapeur consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,876 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Consommation d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,877 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Consommation d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,878 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Consommation d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,879 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Consommation d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,879 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOR' for group 'Consommation d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,880 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Consommation d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,883 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Vapeur vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,885 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Vapeur vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,886 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Vapeur vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,887 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Consommation de combustibles pour la production d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,889 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Consommation de combustibles pour la production d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,890 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Consommation de combustibles pour la production d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,894 | INFO | --- Processing file: 2010_TEFF_T1.csv ---
2025-07-18 21:35:57,900 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group '20-49' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,901 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group '250-499' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,901 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group '500+' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,902 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group '500+' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,902 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group '500+' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,904 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '20-49' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,906 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '500+' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,917 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | RowAggregationWarning: Sum across axis '500+' for group 'Consommation de coke de pétrole' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,923 | INFO | Script: step_3_T1.py | File: 2010_TEFF_T1.csv | RowAggregationWarning: Sum across axis '500+' for group 'Consommation de combustibles usuels' included a suppressed or null value (s, so, ns, or null).
